UWI,WELLNAME,CYCLE_INDEX,STARTTIME,GAS_PER_DAY,PLUNGER_SPEED,FLOW_RATE_END_FLOW,AFTERFLOW_MINS,CL_END_FLOW,TUBING_PRESSURE_AVG_FLOW,CASING_PRESSURE_AVG_FLOW,WELL_VENT,LOAD_RATIO_PRIOR_OPEN,CSG_OVER_LINE,CYCLE_LENGTH,SHUTIN_LENGTH,FLOW_LENGTH,CAS_TUB_DIFF_MAX,CAS_TUB_DIFF_AVG,CAS_TUB_DIFF_MIN,CAS_TUB_DIFF_LAST,TUB_LINE_DIFF_MAX,TUB_LINE_DIFF_AVG,TUB_LINE_DIFF_MIN,AVG_BHP,AVG_BHP_SI,AVG_BHP_FLOW,GAS_PER_CYCLE,PLUNGER_TRAVEL_TIME,AVG_SLUG_HEIGHT,WELL_VENT_SEC,MIN_DP,MAX_DP,LEAKING_VALVE,LIFT_MINS,PLUNGER_FALL_TIME,AVG_TUB_MIN_LINE_FLOW_EXCESS,CASING_FLAT_MINS,FALL_EST_DIFF_MINS,PLUNGER_FALL_EXCESS,CSG_TUB_DIFF_MAX_SI,AVG_DP_FLOW,SLUG_ARRIVAL,SLUG_SIZE_LT_MAX,ARRIVAL_SENSOR_FAIL,CONSEC_NON_ARRIVALS,CAS_TUB_DIFF_MAX_SI,MAX_SLUG_SIZE,TUB_LT_LINE_SI_MINS,DP_FLOW_GT_115_MINS,DP_FLOW_GT_MACH_MINS,TUB_LINE_DIFF_MAX_SI,PLUNGER_FALL_EST_LIQUID,PLUNGER_FALL_EST_GAS,PLUNGER_FALL_EST_TOTAL_CSN,CSG_BUILD_RATE,SLUG_CHANGE_AT_OPEN,CSG_RISE_TOTAL_SI,LINE_PRESSURE_AVG_FLOW,SLUG_RATE_PER_DAY,OFF_TIME_LONG_PCENT,SLUG_SIZE_AT_OPEN,SLUG_PCENT_MAX_OPEN,TUB_CAS_ANNULUS_BRIDGE,PERCENT_ON_TIME_VENTING,LINE_PRESSURE_AVG_SI,CASING_DIFF,LINE_PRESSURE_JUMP_AT_OPEN,ARRIVAL_FAST_DRY,AVG_CSG_MIN_LINE,AVG_CSG_MIN_LINE_SHUTIN,GAS_IN_TUBING_BEFORE_OPEN,GAS_PRODUCED_BEFORE_ARRIVAL,GAS_RATIO_PRODUCED_OVER_STORED,FDT,FSPUDDATE,CASING_ID,TUBING_ID,TUBING_LENGTH_FT,CSG_LINE_DIFF_MAX_SI,PERCENT_CL_END_FLOW
3003922192,SAN JUAN 30-5 UNIT #14A,1,2021-01-11 00:41:18,21.74,1066.46,334.5,1.0,224.01,63.0,105.93,,0.12,1.88,4888.0,4500.0,388.0,42.6,41.1,37.7,6.1,1.9,1.75,1.6,122.7,122.91,120.06,1.23,328.0,14.1,,14.2,53.7,0,5.5,16.0,1.75,24.3,45.6,2.55,31.7,32.38,1,1.0,0,0,31.7,288.0,0.0,0.0,0.0,46.0,1.2,23.2,29.4,0.0,-0.06,8.6,61.25,0.88,0.61,169.0,0.59,0,,101.9,,4.4,0.0,50.68,51.18,0.846,0.924,1.09,44205.02868,29666.0,6.456,1.995,5830,54.5,149.0
3003922192,SAN JUAN 30-5 UNIT #14A,2,2021-01-11 02:02:46,34.42,1554.67,347.6,1.0,220.17,63.1,105.2,,,1.97,2385.0,2100.0,285.0,41.9,41.57,41.3,-1.3,2.2,2.2,2.2,121.71,122.07,119.22,0.95,225.0,0.0,,5.3,74.7,0,3.8,16.0,2.2,9.77,6.6,1.23,24.0,38.6,1,,0,0,24.0,,0.0,0.0,1.0,55.6,0.1,23.3,28.4,0.13,,7.2,60.9,0.0,0.2,,,0,,93.5,,12.9,0.0,49.48,50.38,,0.724,,44205.08525,29666.0,6.456,1.995,5830,54.1,158.0
3003922192,SAN JUAN 30-5 UNIT #14A,3,2021-01-11 02:42:31,37.99,1469.75,299.1,1.0,219.46,62.7,104.34,,0.02,1.93,2570.0,2271.0,299.0,41.3,41.03,40.9,0.8,2.0,2.0,2.0,120.69,121.01,118.25,1.13,238.0,2.3,,19.5,112.1,0,4.0,11.0,2.0,10.37,9.4,1.33,28.2,56.85,1,1.0,0,0,28.2,44.0,0.0,0.0,1.0,51.9,0.2,23.3,28.5,0.13,-0.33,7.6,60.7,0.34,0.26,22.0,0.5,0,,97.0,,6.2,0.0,48.65,49.34,0.878,0.943,1.07,44205.11286,29666.0,6.456,1.995,5830,53.0,136.0
3003922192,SAN JUAN 30-5 UNIT #14A,4,2021-01-11 03:25:21,40.9,1547.79,304.7,1.0,212.65,58.9,104.08,,0.04,2.01,2387.0,2100.0,287.0,45.4,44.7,44.1,2.1,2.1,2.1,2.1,120.4,120.75,117.95,1.13,226.0,5.3,,21.0,115.8,0,3.8,19.0,2.1,9.35,6.4,1.22,27.9,59.7,1,1.0,0,0,27.9,78.0,0.0,0.0,2.0,52.7,0.3,23.3,28.6,0.1,-0.13,7.3,56.8,0.72,0.17,58.0,0.74,0,,95.4,,5.7,0.0,49.32,49.67,0.863,0.944,1.09,44205.1426,29666.0,6.456,1.995,5830,54.8,143.0
3003922192,SAN JUAN 30-5 UNIT #14A,5,2021-01-11 04:05:08,36.58,1320.0,299.2,1.0,221.92,64.1,104.58,,0.08,1.89,2622.0,2297.0,325.0,40.9,40.2,39.5,3.7,2.1,2.1,2.1,120.56,120.82,118.52,1.11,265.0,9.0,,20.7,103.5,0,4.4,12.0,2.1,8.42,9.4,1.32,29.5,49.53,1,1.0,0,0,29.5,540.0,0.0,0.0,1.0,47.9,0.6,23.3,28.9,0.07,-0.11,7.8,62.0,0.99,0.24,103.0,0.19,0,,103.8,,5.7,0.0,48.27,48.97,0.852,0.884,1.04,44205.17023,29666.0,6.456,1.995,5830,51.6,135.0
3003922192,SAN JUAN 30-5 UNIT #14A,6,2021-01-11 04:48:50,41.38,1335.11,259.6,1.0,217.87,62.65,104.47,,0.07,1.93,2422.0,2100.0,322.0,42.5,41.5,40.5,3.6,2.4,2.15,1.9,120.22,120.54,118.39,1.16,262.0,8.8,,14.2,49.2,0,4.4,9.0,2.15,8.83,6.2,1.22,29.7,34.86,1,1.0,0,0,29.7,122.0,0.0,0.0,0.0,48.9,0.5,23.3,28.8,0.1,0.0,7.3,60.5,1.07,0.17,100.0,0.82,0,,95.0,,15.5,0.0,48.03,48.98,0.85,0.974,1.15,44205.20058,29666.0,6.456,1.995,5830,52.5,119.0
3003922192,SAN JUAN 30-5 UNIT #14A,7,2021-01-11 05:29:12,35.79,1382.61,279.3,1.0,216.08,60.8,103.92,,0.08,1.99,2414.0,2100.0,314.0,43.4,42.9,42.4,4.4,1.9,1.9,1.9,120.17,120.51,117.77,1.0,253.0,10.6,,17.4,82.2,0,4.2,19.0,1.9,8.2,6.1,1.21,28.7,42.85,1,1.0,0,0,28.7,482.0,0.0,0.0,1.0,50.3,0.6,23.3,28.9,0.2,-0.04,7.3,58.9,1.43,0.17,122.0,0.25,0,,94.3,,4.7,0.0,50.43,51.13,0.843,0.799,0.95,44205.22861,29666.0,6.456,1.995,5830,55.4,129.0
3003922192,SAN JUAN 30-5 UNIT #14A,8,2021-01-11 06:09:26,40.38,1253.76,228.8,1.0,218.93,62.55,104.13,,0.11,1.91,2439.0,2100.0,339.0,41.3,40.8,40.3,5.6,1.8,1.8,1.8,119.99,120.33,118.01,1.14,279.0,12.7,,12.7,104.1,0,4.7,20.0,1.8,9.43,5.9,1.2,30.5,39.44,1,1.0,0,0,30.5,640.0,0.0,0.0,1.0,47.2,0.8,23.3,29.1,0.1,-0.02,7.7,60.75,1.77,0.17,155.0,0.24,0,,98.3,,6.0,0.0,48.71,49.65,0.831,0.977,1.18,44205.25655,29666.0,6.456,1.995,5830,52.9,105.0
3003922192,SAN JUAN 30-5 UNIT #14A,9,2021-01-11 06:50:05,34.52,1439.51,263.1,1.0,215.72,60.6,103.82,,0.05,1.91,2403.0,2100.0,303.0,42.6,42.57,42.5,3.2,1.8,1.8,1.8,120.08,120.43,117.66,0.96,243.0,6.5,,21.7,67.8,0,4.1,19.0,1.8,9.08,6.3,1.22,27.6,37.6,1,1.0,0,0,27.6,665.0,0.0,0.0,1.0,48.8,0.4,23.3,28.7,0.05,0.0,7.3,58.8,1.08,0.17,89.0,0.13,0,,97.8,,4.1,0.0,47.4,47.78,0.854,0.755,0.88,44205.28478,29666.0,6.456,1.995,5830,52.0,122.0
3003922192,SAN JUAN 30-5 UNIT #14A,10,2021-01-11 07:30:08,34.02,1262.82,253.2,1.0,215.72,60.6,103.92,,0.05,1.95,2438.0,2100.0,338.0,42.9,42.2,41.1,2.6,1.7,1.7,1.7,120.03,120.35,117.77,0.96,277.0,6.5,,14.3,67.3,0,4.6,9.0,1.7,9.13,6.3,1.22,28.3,34.75,1,1.0,0,0,28.3,455.0,0.0,0.0,1.0,50.4,0.4,23.3,28.7,0.15,-0.19,7.3,58.9,1.06,0.17,72.0,0.16,0,,95.0,,4.9,0.0,50.39,51.17,0.855,0.725,0.85,44205.31259,29666.0,6.456,1.995,5830,53.7,117.0
3003922192,SAN JUAN 30-5 UNIT #14A,11,2021-01-11 08:10:46,50.23,1416.19,284.5,1.0,218.58,62.2,104.82,,0.06,1.89,2408.0,2099.0,309.0,42.9,42.53,42.0,3.0,2.0,2.0,2.0,119.95,120.11,118.79,1.4,247.0,7.4,,24.9,258.5,0,4.1,20.0,2.0,8.75,6.3,1.22,29.7,90.63,1,1.0,0,0,29.7,477.0,0.0,1.0,1.0,48.2,0.4,23.3,28.7,0.2,-0.07,7.3,60.2,1.08,0.17,83.0,0.17,0,,99.6,,11.1,0.0,47.7,48.28,0.852,1.132,1.33,44205.34081,29666.0,6.456,1.995,5830,51.2,130.0
3003922192,SAN JUAN 30-5 UNIT #14A,12,2021-01-11 08:50:54,41.04,1340.23,257.4,1.0,219.46,62.6,104.33,,0.04,1.93,2421.0,2100.0,321.0,41.7,40.68,40.1,2.1,2.3,2.05,1.8,119.78,120.05,118.24,1.15,261.0,5.1,,12.1,60.8,0,4.4,20.0,2.05,7.9,6.4,1.22,29.7,31.88,1,1.0,0,0,29.7,601.0,0.0,0.0,1.0,50.3,0.3,23.3,28.6,0.2,-0.05,7.3,60.55,0.71,0.17,58.0,0.1,0,,96.8,,4.5,0.0,48.99,49.75,0.861,0.879,1.02,44205.36868,29666.0,6.456,1.995,5830,52.3,117.0
